受注No,受注日,得意先,得意先注文No,製品名１,製品名２,受注数量,単位,台数,受注金額,納期,納期返事,版区,入日,工程１－工程名,工程１－号機名,工程１－完了日,工程１－完了数,工程２－工程名,工程２－号機名,工程２－完了日,工程２－完了数,工程３－工程名,工程３－号機名,工程３－完了日,工程３－完了数,工程４－工程名,工程４－号機名,工程４－完了日,工程４－完了数,工程５－工程名,工程５－号機名,工程５－完了日,工程５－完了数,工程６－工程名,工程６－号機名,工程６－完了日,工程６－完了数,工程７－工程名,工程７－号機名,工程７－完了日,工程７－完了数,工程８－工程名,工程８－号機名,工程８－完了日,工程８－完了数,工程９－工程名,工程９－号機名,工程９－完了日,工程９－完了数,工程１０－工程名,工程１０－号機名,工程１０－完了日,工程１０－完了数,最終納品日,最終伝票No,納品金額,状態１,状態２
0000324238-000,2026/05/13,千葉印刷㈲,,OPP 袋 100μ 青,,3920,ｍ,  0,93810,2026/05/19,2026/05/18,旧版,,印刷,3-Ｆ号機,2026/05/14 完,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/05/18,347644,24592,,
0000325630-000,2026/05/01,新潟加工(有),,PET パウチ 300μ 銀,,12153,枚,  0,126225,2026/06/05,2026/06/18,旧版,,印刷,2号機,2026/05/26 完,1940,ラミネート,Ｌ2号機,2026/05/28 完,1800,スリッター,６号機,2026/05/29 完,1790,サイド,２０号機,2026/06/15 完,12800,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325631-000,2026/05/01,京都産業,,NY チューブ 100μ クリア,,22800,ｍ,  0,877572,2026/06/08,2026/06/24,旧版,,印刷,5-Ｆ号機,2026/06/10 完,7820,ラミネート,宮内紙工,2026/06/19 完,7750,検品機,社内検品機２,2026/06/22 確,0,スリッター,２号機,2026/06/23 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325632-000,2026/05/01,千葉印刷㈲,ORD-46048,PE フィルム 300μ 透明,,35428,枚,  0,356787,2026/07/16,2026/07/16,旧版,,印刷,2-Ｆ号機,2026/06/26 確,0,サイド,６号機,2026/07/13 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325633-000,2026/05/01,千葉印刷㈲,ORD-39256,CPP シート 100μ 黒,,17714,枚,  0,28289,2026/07/16,2026/07/16,旧版,,印刷,1-Ｆ号機,2026/07/08 確,0,サイド,６号機,2026/07/13 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325634-000,2026/05/01,札幌製作所㈱,,EVOH テープ 300μ 青,,3,ｍ,  0,23434,2026/05/01,,新版,,作業無,,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/05/01,347139,98696,,
0000325635-000,2026/05/01,新潟加工(有),ORD-81482,AL トレー 100μ 銀,,3800,ｍ,  0,21395,2026/06/05,2026/06/05,旧版,,印刷,1-Ｆ号機,2026/05/27 完,4000,スリッター,２号機,2026/06/03 完,3980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/05,348370,87397,,
0000325636-000,2026/05/01,浜松パッケージ,ORD-65302,紙 ラベル 300μ クリア,,76800,ｍ,  0,1533224,2026/06/23,2026/06/30,旧版,,印刷,5号機,2026/06/18 完,39900,スリッター,３号機,2026/06/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325637-000,2026/05/01,浜松パッケージ,ORD-13905,不織布 ロール 100μ 透明,,38000,ｍ,  0,198246,2026/06/23,2026/06/23,旧版,,印刷,5号機,2026/06/19 進,3930,スリッター,３号機,2026/06/22 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325638-000,2026/05/01,岡山印刷㈲,ORD-38657,透明 カップ 300μ 黒,,57000,枚,  0,343962,2026/05/27,2026/06/19,旧版,,サイド,１３号機,2026/06/16 完,53700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/19,348876,629903,,
0000325639-000,2026/05/01,京都産業,ORD-88907,OPP 袋 100μ 青,,10800,ｍ,  0,127824,2026/05/28,,旧版,,印刷,5号機,           未,0,ラミネート,宮内紙工,           未,0,検品機,社内検品機２,           未,0,スリッター,２号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
